"Language","original","english","czech","german","russian","polish","hungarian","italian","spanish","french","chinese","japanese","portuguese","chinesesimp",
"str_iz_cfgvehicles_pso1optic1","A side-mounted, 4x magnifying scope with battery-powered illuminated reticle for AK based rifles.","A side-mounted, 4x magnifying scope with battery-powered illuminated reticle for AK based rifles.","Optika s boční montáží na pušky AK se zvětšením 4x s osvětleným záměrným křížem napájeným baterií.","Seitlich angebrachtes Zielfernrohr mit 4-facher Vergrößerung und batteriebetriebenem Leuchtabsehen für AK-basierte Gewehre.","Крепящийся сбоку 4-кратный прицел с устройством освещения сетки на батарейке. Разработан для автоматов системы КА.","Montowana z boku luneta celownicza o powiększeniu 4x (z podświetlaną siatką). Pasuje do karabinów AK.","A side-mounted, 4x magnifying scope with battery-powered illuminated reticle for AK based rifles.","Mirino montato lateralmente con ingrandimento 4x e reticolo illuminato alimentato a batteria per fucili di derivazione AK.","Una mira de acople lateral, con lente de aumento 4x. En los fusiles de tipo AK, incluye una retícula iluminada (la cual requiere batería).","Une lunette de grossissement 4x avec réticule éclairé par pile. Pour les fusils de type AK.","4x 放大倍率的側邊瞄鏡，具電池式發光標線，適用於 AK 系列步槍。","AK ベースのライフルのための電池式で光る十字線を持つ、側面取り付け型で 4x 倍率のスコープ。","A side-mounted, 4x magnifying scope with battery-powered illuminated reticle for AK based rifles.","AK 型步枪的侧装式 4 倍放大镜，带电池供电的照明分划板。",

"str_iz_cfgvehicles_pso11optic0","PSO-1-1 Scope","PSO-1-1 Scope","Optika PSO-1-1","PSO-1-1-Zielfernrohr","Прицел PSO-1-1","Luneta PSO-1-1","PSO-1-1 Scope","Mirino PSO-1-1","Mira PSO-1-1","Lunette PSO-1-1","PSO-1-1 瞄鏡","PSO-1-1 スコープ","PSO-1-1 Scope","PSO-1-1 瞄准镜",
"str_iz_cfgvehicles_pso11optic1","Side-mounted, 4x magnifying scope with battery-powered illuminated reticle calibrated for VSS Vintorez marksmen rifle. Otherwise compatible with AK based rifles.","Side-mounted, 4x magnifying scope with battery-powered illuminated reticle calibrated for VSS Vintorez marksmen rifle. Otherwise compatible with AK based rifles.","Optika se 4násobným zvětšením s boční montáží s osvětleným záměrným křížem napájeným baterií, kalibrovaným na ostrostřeleckou pušku VSS Vintorez. Dále kompatibilní i s puškami AK.","Ein seitlich montiertes Zielfernrohr mit 4-facher Vergrößerung und batteriebetriebenem Leuchtabsehen für das VSS Vintorez-Scharfschützengewehr. Auch mit anderen AK-Gewehren kompatibel.","Крепящийся сбоку 4-кратный прицел с устройством освещения сетки на батарейке. Откалиброван для снайперской винтовки VSS Vintorez. Также может использоваться с автоматами систем AK.","Montowana z boku luneta celownicza o powiększeniu 4x (z podświetlaną siatką). Skalibrowana pod karabin precyzyjny VSS Vintorez. Pasuje też do karabinów AK.","Side-mounted, 4x magnifying scope with battery-powered illuminated reticle calibrated for VSS Vintorez marksmen rifle. Otherwise compatible with AK based rifles.","Mirino montato lateralmente con ingrandimento 4x e reticolo illuminato alimentato a batteria, calibrato per fucile da tiratore scelto VSS Vintorez. È altrimenti compatibile con fucili di derivazione AK.","Una mira de montura lateral para el fusil de tirador VSS Vintorez, con lente de aumento x4 y una retícula calibrada que requiere batería. También es compatible con fusiles de base AK.","Lunette de grossissement 4x à fixation latérale et réticule éclairé par pile calibré pour le fusil de précision VSS Vintorez. Compatible avec les fusils de type AK.","4x 放大倍率的側邊瞄鏡，具電池式發光標線，依據 VSS Vintorez 特等射手步槍校準，也適用於 AK 系列步槍。","VSS Vintorez マークスマン・ライフルのために調整された電池式で光る十字線を持つ、側面取り付け型で 4x 倍率のスコープ。KA ベースのライフルとも互換性がある。","Side-mounted, 4x magnifying scope with battery-powered illuminated reticle calibrated for VSS Vintorez marksmen rifle. Otherwise compatible with AK based rifles.","侧装式 4 倍放大瞄准镜，配备专为 VSS Vintorez 精确射击步枪校准的电池供电照明分划板。",

"str_iz_cfgvehicles_1PN51Optic0","1PN51 Scope","1PN51 Scope","Optika 1PN51","1PN51-Zielfernrohr","Прицел 1PN51","Luneta 1PN51","1PN51 Scope","Mirino 1PN51","Mira 1PN51","Lunette 1PN51","1PN51 瞄鏡","1PN51 スコープ","1PN51 Scope","1PN51 瞄准镜",
"str_iz_cfgvehicles_1PN51Optic1","A side-mounted, 3.5x magnifying scope with battery-powered night vision for AK based rifles.","A side-mounted, 3.5x magnifying scope with battery-powered night vision for AK based rifles.","Optika s boční montáží se zvětšením 3,5x s nočním viděním napájeným baterií, určeno na pušky AK.","Ein seitlich montiertes Zielfernrohr mit 3,5-facher Vergrößerung und batteriebetriebener Nachtsichtfunktion für AK-basierte Gewehre.","Крепящийся сбоку 3,5-кратный прицел с устройством ночного видения на батарейке. Разработан для автоматов системы КА.","Montowana z boku luneta celownicza o powiększeniu 3,5x z noktowizorem. Pasuje do karabinów AK.","A side-mounted, 3.5x magnifying scope with battery-powered night vision for AK based rifles.","Mirino montato lateralmente con ingrandimento 3.5x e visore notturno alimentato a batteria per fucili di derivazione AK.","Una mira de acople lateral, con lente de aumento 3,5x. En los fusiles de tipo AK, incluye visión nocturna (la cual requiere batería).","Une lunette de grossissement 3,5x à fixation latérale avec vision nocturne par pile. Pour les fusils de type AK.","3.5x 放大倍率的側邊瞄鏡，具電池式夜視功能，適用於 AK 系列步槍。","AK ベースのライフルのための電池式のナイトビジョン機能を持つ、側面取り付け型で 3.5x 倍率のスコープ。","A side-mounted, 3.5x magnifying scope with battery-powered night vision for AK based rifles.","AK 型步枪的侧装式 3.5 倍放大镜，带电池供电的夜视镜。",

"str_iz_cfgvehicles_pistoloptic0","Handgun Scope","Handgun Scope","Pistolová optika","Pistolen-Zielfernrohr","Пистолетный прицел","Luneta pistoletowa","Handgun Scope","Mirino per pistola","Mira para armas de mano","Lunette de pistolet","手槍瞄鏡","拳銃用スコープ","Handgun Scope","手枪瞄准镜",
"str_iz_cfgvehicles_pistoloptic1","Mounted 1.8x magnifying pistol scope. Fits mounts of large-caliber pistols.","Mounted 1.8x magnifying pistol scope. Fits mounts of large-caliber pistols.","Připevnitelná pistolová optika se zvětšením 1,8x určená k montáži na velkorážní pistole.","Montierbares Pistolen-Zielfernrohr mit 1,8-facher Vergrößerung. Kompatibel mit großkalibrigen Pistolen.","Крепящийся пистолетный прицел с 1,8-кратным увеличением. Подходит для крепления на крупнокалиберные пистолеты.","Luneta pistoletowa z powiększeniem 1,8x. Pasuje do większości szyn w pistoletach dużego kalibru.","Mounted 1.8x magnifying pistol scope. Fits mounts of large-caliber pistols.","Mirino montato con ingrandimento 1.8x per pistola. Può essere utilizzato su pistole di grande calibro.","Mira telescópica montada de 1,8 aumentos para pistolas. Se usa con pistolas de gran calibre.","Lunette de grossissement 1,8x montable sur les pistolets de gros calibre.","搭載式 1.8 倍放大手槍瞄鏡。能裝上大口徑手槍。","取り付け型 1.8x 倍率のピストル用スコープ。大口径ピストルの取り付け具と合う。","Mounted 1.8x magnifying pistol scope. Fits mounts of large-caliber pistols.","加装式 1.8 倍放大倍率手枪瞄准镜。适合安装在大口径手枪上。",
